latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
50.0647,20.1145,310.6,1.2,1.1,2012-01-12,1116,Aqua,MODIS,52,6.2,270.5,18.8,D,0
51.1829,16.1256,300.9,1.4,1.2,2012-01-13,0048,Aqua,MODIS,35,6.2,268.6,16.1,N,0
51.682,15.9778,307.6,1.3,1.1,2012-01-26,1129,Aqua,MODIS,62,6.2,274.2,17.3,D,2
51.689,15.9813,308.7,1.2,1.1,2012-01-27,1026,Terra,MODIS,68,6.2,270.3,19.1,D,2
51.6855,15.9843,308.5,1.2,1.1,2012-02-21,0055,Aqua,MODIS,75,6.2,269,19.1,N,2
50.0665,20.1162,319.6,1,1,2012-02-27,1129,Aqua,MODIS,52,6.2,268,22.7,D,0
51.6876,15.9737,300.8,1,1,2012-03-03,1001,Terra,MODIS,40,6.2,280.4,7.6,D,0
51.6856,15.9882,300.6,1,1,2012-03-03,1001,Terra,MODIS,37,6.2,281,7.5,D,2
50.0638,20.1249,300.2,1.1,1.1,2012-03-03,1002,Terra,MODIS,28,6.2,279.6,8,D,0
51.6635,22.7249,300.2,1.4,1.2,2012-03-03,1147,Aqua,MODIS,30,6.2,277.4,11.8,D,0
50.3385,19.2889,307.9,1.1,1,2012-03-03,1147,Aqua,MODIS,66,6.2,282.4,11,D,2
50.3294,19.2918,308.3,1.1,1,2012-03-03,1147,Aqua,MODIS,67,6.2,282.7,11.1,D,2
50.3277,19.2912,302.2,2.5,1.5,2012-03-04,1052,Aqua,MODIS,51,6.2,276.5,31.7,D,2
50.3345,19.2945,300.8,2.5,1.5,2012-03-04,1052,Aqua,MODIS,41,6.2,276.7,26.8,D,2
51.1773,16.1175,305.3,1.2,1.1,2012-03-05,0949,Terra,MODIS,61,6.2,277.4,13.4,D,0
51.6864,15.9665,307.7,1.1,1.1,2012-03-05,1135,Aqua,MODIS,62,6.2,281.8,13.2,D,2
50.0364,18.4852,304.1,1,1,2012-03-05,1135,Aqua,MODIS,58,6.2,280.7,9.2,D,0
51.1426,20.8461,304.5,2.8,1.6,2012-03-06,1040,Aqua,MODIS,48,6.2,269.4,45.2,D,0
50.2024,19.1504,300.7,1.2,1.1,2012-03-07,0937,Terra,MODIS,40,6.2,277.3,9.6,D,0
50.9003,14.9778,316.3,1.7,1.3,2012-03-07,1123,Aqua,MODIS,77,6.2,278.9,38.3,D,0
51.2334,20.7656,324.2,1,1,2012-03-07,1123,Aqua,MODIS,83,6.2,278.9,27.7,D,0
51.231,20.7511,300.7,1,1,2012-03-07,1123,Aqua,MODIS,41,6.2,276.3,8.4,D,0
51.0725,20.9736,300.7,1,1,2012-03-07,1123,Aqua,MODIS,41,6.2,275.8,8.3,D,0
51.1728,20.4007,303.4,1.1,1,2012-03-07,1123,Aqua,MODIS,56,6.2,278.4,9.8,D,0
51.1096,17.4546,304.6,1.3,1.1,2012-03-07,1123,Aqua,MODIS,59,6.2,277.6,14.1,D,0
50.1345,20.5173,302.7,1.1,1,2012-03-07,1123,Aqua,MODIS,53,6.2,278.1,9.1,D,0
50.4223,16.6614,308.2,1.5,1.2,2012-03-07,1123,Aqua,MODIS,67,6.2,279.3,20.6,D,0
